,domain,VT_scan,isNXDomain,perNumChars,VtoC,lenDomain,SymToChar,TLD,class
1960,pflwwnakigbfc.org,0,0,0,23,17,6,org,1
1961,dmwovrrpubkpb.co.uk,0,0,0,31,19,12,uk,1
1962,qorwvjnqyiufc.info,0,0,0,42,18,6,info,1
1963,enuiwbmhrplmd.com,0,0,0,33,17,6,com,1
1964,rppqwsiivwvcu.net,0,0,0,33,17,6,net,1
1965,fhdqmxfeajvis.biz,0,0,0,33,17,6,biz,1
1966,guxtwpykekbcc.ru,0,0,0,25,16,7,ru,1
1967,gibknhavwxwfc.org,0,0,0,23,17,6,org,1
1968,hvvnxytcbycyc.co.uk,0,0,0,13,19,12,uk,1
1969,hrhkmdncnaqfe.info,0,0,0,31,18,6,info,1
1970,ifcnwuhirbvyn.com,0,0,0,33,17,6,com,1
1971,isfenmitkorcg.net,0,0,0,45,17,6,net,1
1972,jgahxecaopwvg.biz,0,0,0,45,17,6,biz,1
1973,hbuhtayqnrkcc.ru,0,0,0,25,16,7,ru,1
1974,udpptullbsfvt.org,0,0,0,23,17,6,org,1
1975,jfsqxjtomohtc.co.uk,0,0,0,31,19,12,uk,1
1976,whnyxegjapcnd.info,0,0,0,31,18,6,info,1
1977,jlybtfhobifyc.com,0,0,0,23,17,6,com,1
1978,wntjtatjojast.net,0,0,0,33,17,6,net,1
1979,lpwkxocmafcqu.biz,0,0,0,33,17,6,biz,1
1980,yrrsxjohngwkv.ru,0,0,0,15,16,7,ru,1
1981,lgfdkluogqbvq.org,0,0,0,23,17,6,org,1
1982,mtagugfrtlvlq.co.uk,0,0,0,31,19,12,uk,1
1983,nkdmoupmfnxnq.info,0,0,0,31,18,6,info,1
1984,oxxpypapsisda.com,0,0,0,45,17,6,com,1
1985,nqjwkqdmthvsc.net,0,0,0,7,17,6,net,1
1986,oeeaulnphcqic.biz,0,0,0,78,17,6,biz,1
1987,puhgoaxksesku.ru,0,0,0,67,16,7,ru,1
1988,qicjyuingynae.org,0,0,0,60,17,6,org,1
1989,geqyflhepbjd.co.uk,0,0,0,33,18,12,uk,1
1990,tirnlddqnpyj.info,0,0,0,23,17,6,info,1
