domain,VT_scan,isNXDomain,perNumChars,VtoC,lenDomain,SymToChar,TLD,class
khm2s0exarilw43nqfw.sg,0,0,18,21,22,6,sg,1
khm2s0exarilw43nqfw.in,0,1,18,31,22,6,in,1
i0a2svi25hunyrelgra.ddns.net,0,0,14,47,28,9,net,1
i0a2svi25hunyrelgra.cn,0,0,18,55,22,6,cn,1
i0a2svi25hunyrelgra.com,0,0,17,64,23,6,com,1
i0a2svi25hunyrelgra.cc,0,0,18,55,22,6,cc,1
i0a2svi25hunyrelgra.ws,1,1,18,55,22,6,ws,1
i0a2svi25hunyrelgra.sg,0,0,18,55,22,6,sg,1
i0a2svi25hunyrelgra.in,0,1,18,70,22,6,in,1
3d1fsvqxgfgdch78mjmda47.ddns.net,0,0,19,9,32,8,net,1
3d1fsvqxgfgdch78mjmda47.cn,0,0,23,6,26,5,cn,1
3d1fsvqxgfgdch78mjmda47.com,0,0,22,11,27,5,com,1
3d1fsvqxgfgdch78mjmda47.cc,0,0,23,6,26,5,cc,1
3d1fsvqxgfgdch78mjmda47.ws,0,1,23,6,26,5,ws,1
3d1fsvqxgfgdch78mjmda47.sg,0,0,23,6,26,5,sg,1
3d1fsvqxgfgdch78mjmda47.in,0,1,23,12,26,5,in,1
eti8k2g2mx5hi2g.ddns.net,0,0,21,31,24,12,net,1
eti8k2g2mx5hi2g.cn,0,0,28,33,18,8,cn,1
eti8k2g2mx5hi2g.com,0,0,26,44,19,8,com,1
eti8k2g2mx5hi2g.cc,0,0,28,33,18,8,cc,1
eti8k2g2mx5hi2g.ws,0,1,28,33,18,8,ws,1
eti8k2g2mx5hi2g.sg,0,0,28,33,18,8,sg,1
eti8k2g2mx5hi2g.in,0,1,28,50,18,8,in,1
eds0gf7232cb3toxsbcr3hg.ddns.net,0,0,22,15,32,9,net,1
eds0gf7232cb3toxsbcr3hg.cn,0,0,27,12,26,6,cn,1
eds0gf7232cb3toxsbcr3hg.com,0,0,26,19,27,5,com,1
eds0gf7232cb3toxsbcr3hg.cc,0,0,27,12,26,6,cc,1
eds0gf7232cb3toxsbcr3hg.ws,0,1,27,12,26,6,ws,1
eds0gf7232cb3toxsbcr3hg.sg,0,0,27,12,26,6,sg,1
eds0gf7232cb3toxsbcr3hg.in,0,1,27,20,26,6,in,1
w2gnu41vur3xanq.ddns.net,0,0,17,29,24,11,net,1
w2gnu41vur3xanq.cn,0,0,22,30,18,8,cn,1
w2gnu41vur3xanq.com,0,0,21,40,19,7,com,1
w2gnu41vur3xanq.cc,0,0,22,30,18,8,cc,1
w2gnu41vur3xanq.ws,0,1,22,30,18,8,ws,1
w2gnu41vur3xanq.sg,0,0,22,30,18,8,sg,1
w2gnu41vur3xanq.in,0,1,22,44,18,8,in,1
wdu6ebg6wti87xgnil3r58c.ddns.net,0,0,22,28,32,9,net,1
wdu6ebg6wti87xgnil3r58c.cn,0,0,27,29,26,6,cn,1
wdu6ebg6wti87xgnil3r58c.com,0,0,26,36,27,5,com,1
wdu6ebg6wti87xgnil3r58c.cc,0,0,27,29,26,6,cc,1
wdu6ebg6wti87xgnil3r58c.ws,1,1,27,29,26,6,ws,1
wdu6ebg6wti87xgnil3r58c.sg,0,0,27,29,26,6,sg,1
wdu6ebg6wti87xgnil3r58c.in,0,1,27,38,26,6,in,1
ep5pw2cxqlwnofk.ddns.net,0,0,8,18,24,10,net,1
ep5pw2cxqlwnofk.cn,0,0,11,15,18,7,cn,1
ep5pw2cxqlwnofk.com,0,0,11,23,19,6,com,1
ep5pw2cxqlwnofk.cc,0,0,11,15,18,7,cc,1
ep5pw2cxqlwnofk.ws,0,1,11,15,18,7,ws,1
ep5pw2cxqlwnofk.sg,0,0,11,15,18,7,sg,1
ep5pw2cxqlwnofk.in,0,1,11,25,18,7,in,1
clq05tmdy8k6i8c078gl3b3.ddns.net,0,0,31,11,32,10,net,1
clq05tmdy8k6i8c078gl3b3.cn,0,0,38,7,26,7,cn,1
clq05tmdy8k6i8c078gl3b3.com,0,0,37,14,27,6,com,1
clq05tmdy8k6i8c078gl3b3.cc,0,0,38,7,26,7,cc,1
clq05tmdy8k6i8c078gl3b3.ws,0,1,38,7,26,7,ws,1
clq05tmdy8k6i8c078gl3b3.sg,0,0,38,7,26,7,sg,1
clq05tmdy8k6i8c078gl3b3.in,2,1,38,15,26,7,in,1
s65xgpwfcd3jehstuhgn1n1.ddns.net,0,0,16,14,32,8,net,1
s65xgpwfcd3jehstuhgn1n1.cn,0,0,19,11,26,5,cn,1
s65xgpwfcd3jehstuhgn1n1.com,0,0,19,17,27,5,com,1
s65xgpwfcd3jehstuhgn1n1.cc,0,0,19,11,26,5,cc,1
s65xgpwfcd3jehstuhgn1n1.ws,1,1,19,11,26,5,ws,1
s65xgpwfcd3jehstuhgn1n1.sg,0,0,19,11,26,5,sg,1
s65xgpwfcd3jehstuhgn1n1.in,0,1,19,18,26,5,in,1
g2q4ojc6sfqpmxo2yfa.ddns.net,0,0,14,22,28,9,net,1
