domain,VT_scan,isNXDomain,perNumChars,VtoC,lenDomain,SymToChar,TLD,class
16c2d9e8.eu,1,0,45,150,11,20,eu,1
fda79d9d.eu,0,0,27,75,11,14,eu,1
ae7ebe8d.eu,0,0,18,300,11,12,eu,1
d1e56881.eu,0,0,55,300,11,25,eu,1
823c4b91.eu,1,0,55,100,11,25,eu,1
69590fe4.eu,0,0,55,300,11,25,eu,1
3a802cf4.eu,0,0,45,150,11,20,eu,1
7beca00a.eu,0,0,27,250,11,14,eu,1
c350c76f.eu,0,0,45,67,11,20,eu,1
9089e47f.eu,0,0,55,300,11,25,eu,1
5e87ffd6.eu,0,0,36,100,11,17,eu,1
d5edcc6.eu,0,0,20,75,10,14,eu,1
e63b98b3.eu,0,0,45,150,11,20,eu,1
b5e2bba3.eu,0,0,27,133,11,14,eu,1
f48e375d.eu,0,0,45,150,11,20,eu,1
a757144d.eu,0,0,55,300,11,25,eu,1
4c325038.eu,0,0,64,200,11,33,eu,1
1feb7328.eu,0,0,45,150,11,20,eu,1
aced270b.eu,0,0,27,133,11,14,eu,1
ff34041b.eu,0,0,45,67,11,20,eu,1
c59c3141.eu,0,0,55,100,11,25,eu,1
2ef97534.eu,0,0,55,300,11,25,eu,1
7d205624.eu,0,0,64,200,11,33,eu,1
3c4cdada.eu,0,0,18,100,11,12,eu,1
6f95f9ca.eu,0,0,36,100,11,17,eu,1
84f0bdbf.eu,0,0,27,40,11,14,eu,1
d7299eaf.eu,0,0,36,200,11,17,eu,1
4afea616.eu,0,0,36,500,11,17,eu,1
a19be263.eu,0,0,45,400,11,20,eu,1
f242c173.eu,0,0,55,100,11,25,eu,1
b32e4d8d.eu,0,0,36,100,11,17,eu,1
e0f76e9d.eu,0,0,36,200,11,17,eu,1
b922ae8.eu,0,0,40,400,10,20,eu,1
584b09f8.eu,0,0,55,100,11,25,eu,1
53f13abe.eu,0,0,36,200,11,17,eu,1
eb4d5ddb.eu,0,0,18,60,11,12,eu,1
b8947ecb.eu,0,0,36,100,11,17,eu,1
ab253be1.eu,0,0,36,200,11,17,eu,1
f8fc18f1.eu,0,0,36,50,11,17,eu,1
13995c84.eu,0,0,64,200,11,33,eu,1
40407f94.eu,0,0,64,200,11,33,eu,1
be87c7dc.eu,0,0,27,75,11,14,eu,1
ed5ee4cc.eu,0,0,18,167,11,12,eu,1
ac326832.eu,0,0,55,300,11,25,eu,1
ffeb4b22.eu,1,0,27,75,11,14,eu,1
148e0f57.eu,0,0,55,300,11,25,eu,1
47572c47.eu,0,0,64,200,11,33,eu,1
da8014fe.eu,1,0,36,200,11,17,eu,1
31e5508b.eu,0,0,55,300,11,25,eu,1
623c739b.eu,0,0,55,100,11,25,eu,1
2350ff65.eu,1,0,55,100,11,25,eu,1
7089dc75.eu,0,0,55,100,11,25,eu,1
9bec9800.eu,0,0,45,150,11,20,eu,1
c835bb10.eu,0,0,45,67,11,20,eu,1
c38f8856.eu,0,0,55,100,11,25,eu,1
9056ab46.eu,1,0,55,300,11,25,eu,1
7b33ef33.eu,0,0,45,150,11,20,eu,1
28eacc23.eu,0,0,36,200,11,17,eu,1
e00d721c.eu,0,0,45,150,11,20,eu,1
b3d4510c.eu,0,0,45,67,11,20,eu,1
58b11579.eu,1,0,64,200,11,33,eu,1
b683669.eu,0,0,60,200,10,33,eu,1
4a04ba97.eu,0,0,45,400,11,20,eu,1
19dd9987.eu,0,0,55,100,11,25,eu,1
f2b8ddf2.eu,0,0,27,40,11,14,eu,1
a161fee2.eu,0,0,36,500,11,17,eu,1
6f6fe54b.eu,0,0,36,100,11,17,eu,1
3cb6c65b.eu,0,0,36,50,11,17,eu,1
d7d3822e.eu,0,0,45,150,11,20,eu,1
c5662dc0.eu,0,0,45,67,11,20,eu,1
96bf0ed0.eu,1,0,36,100,11,17,eu,1
7dda4aa5.eu,0,0,27,250,11,14,eu,1
2e0369b5.eu,0,0,55,300,11,25,eu,1
25b95af3.eu,0,0,45,150,11,20,eu,1
9d053d96.eu,0,0,55,100,11,25,eu,1
cedc1e86.eu,0,0,27,133,11,14,eu,1
a7ad08cc.eu,0,0,27,133,11,14,eu,1
f4742bdc.eu,0,0,36,50,11,17,eu,1
1f116fa9.eu,0,0,45,150,11,20,eu,1
4cc84cb9.eu,0,0,36,50,11,17,eu,1
da4c047.eu,1,0,40,150,10,20,eu,1
5e7de357.eu,0,0,45,400,11,20,eu,1
b518a722.eu,0,0,55,300,11,25,eu,1
e6c18432.eu,0,0,55,300,11,25,eu,1
28cf9f9b.eu,0,0,36,50,11,17,eu,1
7b16bc8b.eu,0,0,36,50,11,17,eu,1
9073f8fe.eu,0,0,45,150,11,20,eu,1
c3aadbee.eu,0,0,9,200,11,11,eu,1
82c65710.eu,1,0,64,200,11,33,eu,1
d11f7400.eu,0,0,55,100,11,25,eu,1
31c00333.eu,0,0,64,200,11,33,eu,1
daa54746.eu,0,0,45,400,11,20,eu,1
897c6456.eu,1,0,64,200,11,33,eu,1
9acd217c.eu,0,0,36,100,11,17,eu,1
c914026c.eu,0,0,55,100,11,25,eu,1
75db1479.eu,0,0,55,100,11,25,eu,1
676ebb97.eu,0,0,45,150,11,20,eu,1
34b79887.eu,0,0,64,200,11,33,eu,1
dfd2dcf2.eu,0,0,18,33,11,12,eu,1
8c0bffe2.eu,0,0,27,75,11,14,eu,1
4205e44b.eu,0,0,55,300,11,25,eu,1
11dcc75b.eu,0,0,36,50,11,17,eu,1
fab9832e.eu,0,0,36,200,11,17,eu,1
e80c2cc0.eu,0,0,36,100,11,17,eu,1
bbd50fd0.eu,0,0,27,40,11,14,eu,1
50b04ba5.eu,0,0,45,150,11,20,eu,1
36968b5.eu,0,0,60,200,10,33,eu,1
8d35bf3.eu,1,0,40,67,10,20,eu,1
5b0a78e3.eu,1,0,45,400,11,20,eu,1
b06f3c96.eu,0,0,45,67,11,20,eu,1
e3b61f86.eu,0,0,45,150,11,20,eu,1
15a35ab8.eu,0,0,45,400,11,20,eu,1
fec61ecd.eu,0,0,18,100,11,12,eu,1
ad1f3ddd.eu,0,0,18,60,11,12,eu,1
ec73b123.eu,0,0,45,150,11,20,eu,1
bfaa9233.eu,1,0,36,200,11,17,eu,1
54cfd646.eu,0,0,45,67,11,20,eu,1
716f556.eu,0,0,60,200,10,33,eu,1
c918eeff.eu,0,0,27,133,11,14,eu,1
9ac1cdef.eu,0,0,18,100,11,12,eu,1
227daa8a.eu,0,0,36,500,11,17,eu,1
30c80564.eu,0,0,64,200,11,33,eu,1
dbad4111.eu,0,0,36,100,11,17,eu,1
83ce5147.eu,0,0,55,300,11,25,eu,1
d0177257.eu,0,0,64,200,11,33,eu,1
3b723622.eu,0,0,64,200,11,33,eu,1
68ab1532.eu,1,0,55,300,11,25,eu,1
1da0378.eu,0,0,50,300,10,25,eu,1
b966641d.eu,0,0,55,100,11,25,eu,1
eabf470d.eu,0,0,27,133,11,14,eu,1
abd3cbf3.eu,1,0,18,60,11,12,eu,1
f80ae8e3.eu,0,0,36,500,11,17,eu,1
136fac96.eu,0,0,45,150,11,20,eu,1
40b68f86.eu,0,0,55,100,11,25,eu,1
8eb8942f.eu,0,0,45,150,11,20,eu,1
dd61b73f.eu,0,0,36,50,11,17,eu,1
3604f34a.eu,0,0,55,300,11,25,eu,1
