domain,VT_scan,isNXDomain,perNumChars,VtoC,lenDomain,SymToChar,TLD,class
b391c81f613e8473965df15e596de289.co.cc,0,0,61,44,38,15,cc,1
4b5fd832179bd096daec4a5c74f2c5ce.org,0,0,47,38,36,6,org,1
4b5fd832179bd096daec4a5c74f2c5ce.co.cc,0,0,45,36,38,11,cc,1
c8391bc55790a67fcf39c527f8f5c972.co.cc,0,0,55,15,38,13,cc,1
e4438808d0ddbb1a484803e70cd4f899.org,0,0,58,40,36,7,org,1
e4438808d0ddbb1a484803e70cd4f899.co.cc,0,0,55,36,38,13,cc,1
7a7e8227c7f9d8f2f85f3956c21a962e.org,0,0,58,56,36,7,org,1
5c04568c2d4cb48768c273bddaf9db1d.org,0,0,50,13,36,6,org,1
5c04568c2d4cb48768c273bddaf9db1d.co.cc,0,0,47,12,38,11,cc,1
b5c352e6fa30bb978f17e2b445fdc0d2.org,0,0,50,31,36,6,org,1
b5c352e6fa30bb978f17e2b445fdc0d2.co.cc,0,0,47,29,38,11,cc,1
59a9bdd8bb5b8cd3499513a0f78888f2.co.cc,0,0,53,23,38,12,cc,1
6fe1ab7b21453095003d84e8e9c7dd35.org,0,0,58,56,36,7,org,1
6fe1ab7b21453095003d84e8e9c7dd35.co.cc,0,0,55,50,38,13,cc,1
1199bd10598b0018b6412c4a2b723918.org,0,0,69,25,36,10,org,1
394aa218230f42869bcf7c050f90bcfd.org,0,0,56,25,36,7,org,1
394aa218230f42869bcf7c050f90bcfd.co.cc,0,0,53,23,38,12,cc,1
e667326fd5a5248d621af37f2581d856.org,0,0,64,50,36,8,org,1
e667326fd5a5248d621af37f2581d856.co.cc,0,0,61,44,38,15,cc,1
26269dc84794e3bd03a2788d769fb620.co.cc,0,0,61,30,38,15,cc,1
2613a62ebeb3e72fb10383a1873ce309.org,0,0,58,100,36,7,org,1
2613a62ebeb3e72fb10383a1873ce309.co.cc,0,0,55,88,38,13,cc,1
3898c3296b5f4942f02b62f10469ccb6.org,0,0,64,9,36,8,org,1
77ccbbbe19881da511aa629cd0e4d6d9.org,0,0,47,50,36,6,org,1
77ccbbbe19881da511aa629cd0e4d6d9.co.cc,0,0,45,46,38,11,cc,1
abc98a3bbdaafabc36ab9b5be7df600f.org,0,0,31,50,36,4,org,1
abc98a3bbdaafabc36ab9b5be7df600f.co.cc,0,0,29,47,38,8,cc,1
a6742b4389a8088115f6890b33225269.co.cc,0,0,71,50,38,22,cc,1
c7686e0cc297a12f16da44e36436d79d.org,0,0,58,56,36,7,org,1
c7686e0cc297a12f16da44e36436d79d.co.cc,0,0,55,50,38,13,cc,1
84af02f1cb2760214fc01882075f5789.org,0,0,67,22,36,9,org,1
5de5622faca053402d52ed5506cdf0c1.org,0,0,53,45,36,6,org,1
5de5622faca053402d52ed5506cdf0c1.co.cc,0,0,50,42,38,12,cc,1
05e6587ecd5074b1d1bc674fc04354e4.org,0,0,58,40,36,7,org,1
05e6587ecd5074b1d1bc674fc04354e4.co.cc,0,0,55,36,38,13,cc,1
5b21dbc04be53ae05dd589bd63d7b318.co.cc,0,0,47,29,38,11,cc,1
c291571954fcf33c9141a9c910afb821.org,0,0,61,30,36,8,org,1
